
AMS Group,Conglomerates,UAE,Sharjah,Dhaid Road,Tel: +971 6-531-1444,www.ams.co.ae,www.ams.co.ae,amsgroup@emirates.net.ae,,,,
,,,,Bridge 8,Tel: +971 6-531-1533,amsgroup@emirates.net.ae,,,,,,
,,,,P.O.Box 22484,Fax: +971 6-531-1135,,,,,,,
,,,,,Fax: +971 6-531-1522,,,,,,,
AMS Quarry and Crusher,Construction,UAE,Sharjah,P.O.Box 22484,Tel: +971 6-531-1444,amsgroup@emirates.net.ae,amsgroup@emirates.net.ae,,,,,
,,,,,Tel: +971 6-531-1533,,,,,,,
,,,,,Fax: +971 6-531-1135,,,,,,,
ANC Group,Construction,UAE,Dubai,"Al Quoz Industrial Area, Barsha",Tel: +971 4-340-0004,mail@ancdubai.com,mail@ancdubai.com,,,,,
,,,,P.O.Box 11072,Fax: +971 4-340-0344,,,,,,,
ANTA Group,Travel and Tourism,UAE,Ajman,P.O.Box 641,Tel: +971 6-742-2300,www.anta.ae ,www.anta.ae ,www.apteconline.com,sales@apteconline.com,,,
,,,,,Fax: +971 6-742-7537,anta@eta-ascon.com,,,,,,
APTEC Holdings,Telecoms and IT,UAE,,Lulu Building Number 3,Tel: +971 4-369-7111,www.apteconline.com,,,,,,
,,,,"1st Floor, Office 101",Fax: +971 4-369-7110,sales@apteconline.com,,,,,,
,,,,Dubai Internet City,,,,,,,,
,,,,P.O.Box 33550,,,,,,,,
ARY Group,Conglomerates,UAE,Dubai,P.O.Box 1123,Tel: +971 4-225-1588,www.arygold.net,www.arygold.net,www.aryproperties.com,sales@aryproperties.com,,,
,,,,,Tel: +971 4-226-3535,ary@eim.ae,,,,,,
,,,,,Fax: +971 4-225-2095,,,,,,,
,,,,,Fax: +971 4-226-2858,,,,,,,
ARY Properties,Real Estate,UAE,Dubai,City Tower 1,Tel: +971 4-331-2126,www.aryproperties.com,,,,,,
,,,,Suite Number 102,Fax: +971 4-331-1174,sales@aryproperties.com,,,,,,
,,,,Sheikh Zayed Road,,,,,,,,
,,,,P.O.Box 1123,,,,,,,,
ASAS Real Estate Company,Real Estate,UAE,Sharjah,C/O Sharjah Islamic Bank,Tel: +971 6-568-1000,,,,,,,
,,,,Al Boorj Avenue,Fax: +971 6-568-0101,,,,,,,
,,,,P.O.Box 4,,,,,,,,
Aabar Petroleum Investments,Oil and Gas,UAE,Abu Dhabi,The Ministry of Energy Building,Tel: +971 2-626-4466,www.aabar.com,www.aabar.com,info@aabar.ae,,,,
,,,,12th floor,Fax: +971 2-626-8228,info@aabar.ae,,,,,,
,,,,Cornishe Road,,,,,,,,
,,,,P.O.Box 107888,,,,,,,,
Abba Electronics,Telecoms and IT,UAE,Dubai,P.O.Box 44500,Tel: +971 4-355-4222,www.alabbas.com,www.alabbas.com,,,,,
,,,,,Fax: +971 4-355-5966,abba@emirates.net.ae,,,,,,
Abbco Group,Real Estate,UAE,Dubai,MM Towers,Tel: +971 4-224-3325,www.abbcogroup.com,www.abbcogroup.com,,,,,
,,,,9th Floor,Fax: +971 4-224-1022,,,,,,,
,,,,Al Maktoum Street,,,,,,,,
,,,,Deira,,,,,,,,
,,,,P.O.Box 48765,,,,,,,,
Abdulla Group,Agriculture and Food,UAE,Abu Dhabi,P.O.Box 31339,Tel: +971 2-666-2800,info@abdullagroup.com.ae,info@abdullagroup.com.ae,,,,,
,,,,,Fax: +971 2-666-2801,,,,,,,
Abdulla Nasser and Associates,Conglomerates,UAE,Abu Dhabi,Al Nasser Street,Tel: +971 2-632-3500,www.ana-uae.com,www.ana-uae.com,anassera@emirates.net.ae,,,,
,,,,P.O.Box 46611,Fax: +971 2-634-4150,anassera@emirates.net.ae,,,,,,
Abdulla Sultan Alsharhan Establishment,Conglomerates,UAE,Dubai,Real Estate Department Building,Tel: +971 4-266-0417,,,,,,,
,,,,Al Ittihad Road,Tel: +971 4-266-1718,,,,,,,
,,,,P.O.Box 1675,Fax: +971 4-269-5913,,,,,,,
Abdulla and Hamad Al Ghurair Investment,Conglomerates,UAE,Dubai,Airport Road,Tel: +971 4-284-4622,www.ahinvestment.ae,www.ahinvestment.ae,mail@ahinvestment.ae,,,,
,,,,P.O.Box 10223,Fax: +971 4-285-5877,mail@ahinvestment.ae,,,,,,
Abraaj Capital,Financial Services,UAE,Dubai,Emirates Towers Offices,Tel: +971 4-319-1500,www.abraaj.com,www.abraaj.com,info@abraaj.com,,,,
,,,,Level 7,Fax: +971 4-319-1600,info@abraaj.com,,,,,,
,,,,P.O.Box 504905,,,,,,,,
Abu Dhabi Airport Services,Transport,UAE,Abu Dhabi,P.O.Box 3668,Tel: +971 2-505-2001,www.abudhabiairptsvcs.com/,www.abudhabiairptsvcs.com/,,,,,
,,,,,Fax: +971 2-575-7157,auhapsvc@emirates.net.ae,,,,,,
Abu Dhabi Airports Company,Transport,UAE,Abu Dhabi,"C/O, Department of Civil Aviation, PO Box 20, Abu Dhabi, United Arab Emirates",Tel: +971 2-575-7500,,,,,,,
,,,,,Fax: +971 2-575-7285,,,,,,,
Abu Dhabi Aviation,Transport,UAE,Abu Dhabi,P.O.Box 2723,Tel: +971 2-575-8000,www.adaviation.com,www.adaviation.com,,,,,
,,,,,Fax: +971 2-575-7775,adava@emirates.ae,,,,,,
Abu Dhabi Basic Industries Corporation,Mining and Metals,UAE,Abu Dhabi,Al Khazna Tower,Tel: +971 2-698-8444,www.adbic.ae,www.adbic.ae,,,,,
,,,,12th and 13th Floors,Fax: +971 2-678-9990,,,,,,,
,,,,Al Najda Street,,,,,,,,
,,,,P.O.Box 7063,,,,,,,,
Abu Dhabi Chamber of Commerce and Industry,Services,UAE,Abu Dhabi,Corniche Road,Tel: +971 2-621-4000,www.abudhabichamber.ae,www.abudhabichamber.ae,services@adcci.gov.ae,,,,
,,,,P.O.Box 662,Fax: +971 2-621-5867,services@adcci.gov.ae,,,,,,
Abu Dhabi Commercial Bank,Financial Services,UAE,Abu Dhabi,Al Salam Street,Tel: +971 2-696-2222,www.adcb.com,www.adcb.com,info@adcb.com,,,,
,,,,P.O.Box 939,Fax: +971 2-645-0384,info@adcb.com,,,,,,
Abu Dhabi Commercial Corporation,Industrial Manufacturing,UAE,Abu Dhabi,P.O.Box 4214,Tel: +971 2-621-2828,adcc@emirates.net.ae,adcc@emirates.net.ae,,,,,
,,,,,Fax: +971 2-632-0220,,,,,,,
Abu Dhabi Company for Onshore Oil Operations,Oil and Gas,UAE,Abu Dhabi,P.O.Box 270,Tel: +971 2-604-0000,,,,,,,
,,,,,Fax: +971 2-666-9785,,,,,,,
Abu Dhabi Cooperative Society,Consumer Goods,UAE,Abu Dhabi,P.O.Box 833,Tel: +971 2-673-0517,www.adcoops.com,www.adcoops.com,,,,,
,,,,,Tel: +971 2 644-0808,adcoops@eim.ae,,,,,,
,,,,,Fax: +971 2-673-0941,,,,,,,
,,,,,Fax: +971 2 644-1212,,,,,,,
Abu Dhabi Distribution Company,Power and Utilities,UAE,Abu Dhabi,P.O.Box 219,Tel: +971 2-642-3000,www.addc.ae,www.addc.ae,,,,,
,,,,,Fax: +971 2-642-6033,customerservice@addc.ae,,,,,,
Abu Dhabi Equipment Company,Industrial Manufacturing,UAE,Abu Dhabi,P.O.Box 4303,Tel: +971 2-5541991,abdeqmnt@emirates.net.ae,abdeqmnt@emirates.net.ae,,,,,
,,,,,Fax: 02-5554614,,,,,,,
Abu Dhabi Executive Council,Government,UAE,Abu Dhabi,Crown Prince Court Building,Tel: +971 2-608-1684,,,,,,,
,,,,Al Bayouna Street,Tel: +971 2-665-1200,,,,,,,
,,,,P.O.Box 19,Fax: +971 2-666-9733,,,,,,,
Abu Dhabi Fertilizer Industries Company,Basic Materials,UAE,Abu Dhabi,Municipality Building,Tel: +971 2-551-1700,www.adfert.com,www.adfert.com,info@adfert.com,,,,
,,,,Musafah Industrial Area,Fax: +971 2-551-1702,info@adfert.com,,,,,,
,,,,P.O.Box 71871,,,,,,,,
Abu Dhabi Financial Services Company,Financial Services,UAE,Abu Dhabi,National Bank of Abu Dhabi Building,Tel: +971 2-627-2627,nbad@dfm.co.ae,nbad@dfm.co.ae,,,,,
,,,,Al Corniche Street,Fax: +971 2-627-2975,,,,,,,
,,,,P.O.Box 28400,,,,,,,,
Abu Dhabi Fund for Development,Financial Services,UAE,Abu Dhabi,P.O.Box 814,Tel: +971 2-667-7100,,,,,,,
,,,,,Fax: +971 2-667-7070,,,,,,,
Abu Dhabi Future Energy Company,Power and Utilities,UAE,Abu Dhabi,ADPC Administration Building,Tel: +971 2-698-8000,www.masdar.ae,www.masdar.ae,sfoulsham@masdar.ae,,,,
,,,,2nd Floor,Fax: +971 2-698-8001,sfoulsham@masdar.ae,,,,,,
,,,,Mina Road,,,,,,,,
,,,,P.O.Box 45005,,,,,,,,
Abu Dhabi Gas Industries,Oil and Gas,UAE,Abu Dhabi,GASCO Building,Tel: +971 2-603-0000,www.gasco.ae,www.gasco.ae,info@gasco.ae,,,,
,,,,Khalifa Street,Fax: +971 2-603-7414,info@gasco.ae,,,,,,
,,,,Sheikh Khalifa Compound for Power,,,,,,,,
,,,,P.O.Box 665,,,,,,,,
Abu Dhabi Gas Liquefaction Company,Oil and Gas,UAE,Abu Dhabi,P.O.Box 3500,Tel: +971 2-606-1111,www.adgas.com,www.adgas.com,,,,,
,,,,,Fax: +971 2-606-5456,,,,,,,
,,,,,Fax: +971 2-606-5500,,,,,,,
Abu Dhabi General Transport Company,Construction,UAE,Abu Dhabi,"Mussafah 15, Sanayah",Tel: +971 2-555-5700,gtcmo@emirates.net.ae,gtcmo@emirates.net.ae,,,,,
,,,,P.O.Box 493,Fax: +971 2-555-4861,,,,,,,
Abu Dhabi Group,Financial Services,UAE,Abu Dhabi,-,Fax: +971 4-393-2414,,,,,,,
Abu Dhabi Holding,Financial Services,UAE,Abu Dhabi,Al Ghaith Tower,Tel: +971 2-627-7448,www.adh.ae,www.adh.ae,adhc@abudhabiholding.ae,info@adh.ae,,,
,,,,11th Floor,Fax: +971 2-627-7449,adhc@abudhabiholding.ae,,,,,,
,,,,Hamdan Street,,info@adh.ae,,,,,,
,,,,P.O.Box 33486,,,,,,,,
Abu Dhabi Industrial City,Real Estate,UAE,Abu Dhabi,Al Musaffah Area,Tel: +971 2-550-0000,www.icad.ae,www.icad.ae,info@icad.ae,,,,
,,,,P.O.Box 36000,Fax: +971 2-550-1555,info@icad.ae,,,,,,
Abu Dhabi International Airport,Transport,UAE,Abu Dhabi,P.O.Box 38811,Tel: +971 2-509-5000,,,,,,,
,,,,,Tel: +971 2-575-7500,,,,,,,
,,,,,Fax: +971 2-509-5095,,,,,,,
,,,,,Fax: +971 2-575-7285,,,,,,,
Abu Dhabi International Private School,Services,UAE,Abu Dhabi,Al Rawda Clinic,Tel: +971 2-443-4433,www.aisuae.com,www.aisuae.com,aisem@emirates.net.ae,,,,
,,,,Karma Street,Fax: +971 2-443-6052,aisem@emirates.net.ae,,,,,,
,,,,P.O.Box 25898,,,,,,,,
Abu Dhabi Investment Authority,Financial Services,UAE,Abu Dhabi,"ADIA Building, 2 Towers",Tel: +971 2-626-6500,www.adia.ae,www.adia.ae,,,,,
,,,,125 Corniche Street,Fax: +971 2-627-4605,,,,,,,
,,,,P.O.Box 3600,,,,,,,,
Abu Dhabi Investment Company,Financial Services,UAE,Abu Dhabi,Khalidya Street,Tel: +971 2-665-8100,www.adic.ae,www.adic.ae,adic@emirates.net.ae,,,,
,,,,P.O.Box 46309,Fax: +971 2-665-0575,adic@emirates.net.ae,,,,,,
Abu Dhabi Investment Council,Financial Services,UAE,Abu Dhabi,Silver Tower,Tel: +971 2-611-5555,,,,,,,
,,,,Corniche Street,Tel: +971 2-626-2266,,,,,,,
,,,,P.O.Box 61999,Tel: +971 2-627-7900,,,,,,,
,,,,,Fax: +971 2-627-7300,,,,,,,
Abu Dhabi Investment House,Financial Services,UAE,Abu Dhabi,Al Hana Tower,Tel: +971 2-681-1233,www.adih.ae,www.adih.ae,info@adih.ae,,,,
,,,,Mezanine Floor,Fax: +971 2-681-1844,info@adih.ae,,,,,,
,,,,Corniche Road,,,,,,,,
,,,,P.O.Box 106699,,,,,,,,
Abu Dhabi Islamic Bank,Financial Services,UAE,Abu Dhabi,Najda Street,Tel: +971 2-634-3000,www.adib.ae,www.adib.ae,www.e-adib.com,,,,
,,,,P.O.Box 313,Fax: +971 2-621-9946,www.e-adib.com,,,,,,
,,,,,,adib@adib.co.ae,,,,,,
,,,,,,customerservice@adib.co.ae,,,,,,
Abu Dhabi Mall,Real Estate,UAE,Abu Dhabi,Tourist Club Area,Tel: +971 2-645-4858,www.abudhabi-mall.com,www.abudhabi-mall.com,admall@emirates.net.ae,,,,
,,,,P.O.Box 54154,Fax: +971 2-645-7737,admall@emirates.net.ae,,,,,,
Abu Dhabi Marina Mall,Real Estate,UAE,Abu Dhabi,Abu Dhabi Break Water,Tel: +971 2-681-8300,www.marinamall.ae,www.marinamall.ae,,,,,
,,,,P.O.Box 42681,Fax: +971 2-681-8668,,,,,,,
Abu Dhabi Marine Operating Company,Oil and Gas,UAE,Abu Dhabi,ADMA-OPCO Building,Tel: +971 2-606-0000,www.adma-opco.com ,www.adma-opco.com ,,,,,
,,,,Corniche Street,Fax: +971 2-626-6005,,,,,,,
,,,,P.O.Box 303,,,,,,,,
Abu Dhabi Maritime and Mercantile International,Conglomerates,UAE,Abu Dhabi,GMP Travel Building,Tel: +971 2-627-3131,www.admmi.com,www.admmi.com,general@admmi.com,,,,
,,,,Calissa Street,Fax: +971 2-626-9661,general@admmi.com,,,,,,
,,,,P.O.Box 247,,,,,,,,
Abu Dhabi Melamine Industry Company,Oil and Gas,UAE,Abu Dhabi,"C/O Abu Dhabi National Oil Company, Al Kornish Street, Adnoc Building, PO Box 898, Abu Dhabi, UAE",Tel: +971 2-602-0000,info@adnoc.ae,info@adnoc.ae,,,,,
,,,,,Fax: +971 2-602-3389,,,,,,,
Abu Dhabi Metal Pipes and Profiles Industries Complex,Mining and Metals,UAE,Dubai,2001 Twin Towers,Tel: +971 4-222-2970,www.adpico.com,www.adpico.com,info@adpico.com,,,,
,,,,P.O.Box 62361,Fax: +971 4-222-3307,info@adpico.com,,,,,,
,,,,,,sales@adpico.com,,,,,,
Abu Dhabi Motors,Automotive,UAE,Abu Dhabi,Al Ain Road,Tel: +971 2-558-8000,www.bmw-abudhabi.com,www.bmw-abudhabi.com,,,,,
,,,,Sheikh Mohammed bin Buti Al Hamid Building,Fax: +971 2-558-9722,,,,,,,
,,,,P.O.Box 46468,,,,,,,,
Abu Dhabi Municipality and Town Planning Department,Government,UAE,Abu Dhabi,Al Salam Street,Tel: +971 2-678-8888,www.adm.gov.ae,www.adm.gov.ae,,,,,
,,,,P.O.Box 263,Fax: +971 2-678-8888,,,,,,,
Abu Dhabi National Company for Building Materials,Construction,UAE,Abu Dhabi,Al Naser Restaurant Building,Tel: +971 2-645-5500,www.bildco.co.ae,www.bildco.co.ae,bildco@eim.ae,,,,
,,,,1st Floor,Fax: +971 2-645-5544,bildco@eim.ae,,,,,,
,,,,Salam Street,,,,,,,,
,,,,P.O.Box 2443,,,,,,,,
Abu Dhabi National Energy Company,Power and Utilities,UAE,Abu Dhabi,"C/O, Abu Dhabi Water and Electricity Authority, PO Box 6120, Abu Dhabi, United Arab Emirates",Tel: +971 2-694-3662,www.taqa.ae,www.taqa.ae,,,,,
,,,,,Fax: +971 2-642-2555,info@taqa.ae,,,,,,
Abu Dhabi National Exhibitions Company,Services,UAE,Abu Dhabi,Abu Dhabi Exhibition Center,Tel: +971 2-444-6900,www.adnec.ae,www.adnec.ae,adnec@emirates.net.ae,,,,
,,,,Al Mosafah Road,Fax: +971 2-444-6135,adnec@emirates.net.ae,,,,,,
,,,,P.O.Box 5546,,,,,,,,
Abu Dhabi National Hotels Company,Real Estate,UAE,Abu Dhabi,Sheikh Rashed Al Maktoum Road,Tel: +971 2-444-7228,www.adnh.com,www.adnh.com,adnh@adnh.com,,,,
,,,,P.O.Box 46806,Fax: +971 2-444-8495,adnh@adnh.com,,,,,,
Abu Dhabi National Industrial Projects,Conglomerates,UAE,Abu Dhabi,P.O.Box 25905,Tel: +971 2-550-0577,www.adnip.com,www.adnip.com,,,,,
,,,,,Fax: +971 2-550-0533,adnip@emirates.net.ae,,,,,,
Abu Dhabi National Insurance Company,Financial Services,UAE,Abu Dhabi,Sheikh Khalifa Street,Tel: +971 2-626-4000,www.adnic.ae,www.adnic.ae,adnic@adnic.ae,,,,
,,,,P.O.Box 839,Fax: +971 2-626-8600,adnic@adnic.ae,,,,,,
Abu Dhabi National Oil Company,Oil and Gas,UAE,Abu Dhabi,ADNOC Building,Tel: +971 2-602-0000,www.adnoc.com,www.adnoc.com,info@adnoc.ae,,,,
,,,,Al Kornish Street,Fax: +971 2-602-3389,info@adnoc.ae,,,,,,
,,,,P.O.Box 898,,,,,,,,
Abu Dhabi National Paper Mill,Consumer Goods,UAE,Abu Dhabi,P.O.Box 27683,Tel: +971 2- 550-1886,www.pinepaper.com,www.pinepaper.com,,,,,
,,,,,Fax: +971 2-550-1544,adpaper@emirates.net.ae ,,,,,,
,,,,,,info@pinepaper.com,,,,,,
Abu Dhabi National Pipes and Bags Factory,Basic Materials,UAE,Abu Dhabi,P.O.Box 46828,Tel: +971 2-555-4100,,,,,,,
,,,,,Fax: +971 2-555-4531,,,,,,,
Abu Dhabi National Takaful Company,Financial Services,UAE,Abu Dhabi,Bin Hamooda Building,Tel: +971 2-626-2727,www.takaful.ae,www.takaful.ae,info@takaful.ae,,,,
,,,,1st Floor,Fax: +971 2-626-0777,info@takaful.ae,,,,,,
,,,,Al Khaleefa Street,,,,,,,,
,,,,P.O.Box 35335,,,,,,,,
Abu Dhabi National Tanker Company,Oil and Gas,UAE,Abu Dhabi,Sheikh Khalifa Energy Complex Takreer Tower,Tel: +971 2-602-8400,www.adnatco.com,www.adnatco.com,adnatco@adnatco.ae,,,,
,,,,11th and 12th Floor,Fax: +971 2-602-8323,adnatco@adnatco.ae,,,,,,
,,,,Khalifa Street,,,,,,,,
,,,,P.O.Box 2977,,,,,,,,
Abu Dhabi Oil Company,Oil and Gas,UAE,Abu Dhabi,Abu Dhabi Oil Company Building,Tel: +971 2-666-1100,,,,,,,
,,,,Zayed the 1st Street,Fax: +971 2-666-1327,,,,,,,
,,,,P.O.Box 630,,,,,,,,
Abu Dhabi Oil Refining Company,Oil and Gas,UAE,Abu Dhabi,P.O.Box 3593,Tel: +971 2-602-7000,www.takreer.com,www.takreer.com,www.adosuae.com,sales@ados.uae.com,,,
,,,,,Fax: +971 2-602-7001,publicrelations@takreer.com,,,,,,
Abu Dhabi Oilfield Services Establishment,Oil and Gas,UAE,Abu Dhabi,Lulu Center Building,Tel: +971 2-678-8800,www.adosuae.com,,,,,,
,,,,13th Floor,Fax: +971 2-678-7678,sales@ados.uae.com,,,,,,
,,,,Salam Street,,,,,,,,
,,,,Mussafah Industrial Area,,,,,,,,
,,,,P.O.Box 4015,,,,,,,,
Abu Dhabi Petroleum Company,Oil and Gas,UAE,Abu Dhabi,P.O.Box 26696,Tel: +971 2-627-4288,adpcltd@emirates.net.ae,adpcltd@emirates.net.ae,,,,,
,,,,,Fax: +971 2-626-8248,,,,,,,
Abu Dhabi Petroleum Ports Operating Company,Transport,UAE,Abu Dhabi,Takreer Tower,Tel: +971 2-672-2273,www.irshad.ae,www.irshad.ae,info@irshad.ae,,,,
,,,,7th Floor,Fax: +971 2-672-2422,info@irshad.ae,,,,,,
,,,,Al Corniche Street,,,,,,,,
,,,,P.O.Box 61,,,,,,,,
Abu Dhabi Polymers Company,Oil and Gas,UAE,Abu Dhabi,Al Muhairi Tower,Tel: +971 2-631-2333,www.borouge.com,www.borouge.com,sales.uae@borouge.com,,,,
,,,,Khaldia Street,Fax: +971 2 631-2999,sales.uae@borouge.com,,,,,,
,,,,P.O.Box 6925,,,,,,,,
Abu Dhabi Ports Company,Transport,UAE,Abu Dhabi,Sheikh Khalifa Bin Zayed Street,Tel: +971 2-616-0099,info@dtworld.com,info@dtworld.com,,,,,
,,,,P.O.Box 45005,Tel: +971 2-673-0600,,,,,,,
,,,,,Fax: +971 2-673-1870,,,,,,,
Abu Dhabi Seaports Company,Transport,UAE,Abu Dhabi,-,,,,,,,,
Abu Dhabi Securities Market,Financial Services,UAE,Abu Dhabi,Al Ghaith Tower,Tel: +971 2-627-7777,www.adsm.ae,www.adsm.ae,info@adsm.co.ae,,,,
,,,,Hamdan Street,Fax: +971 2-627-0300,info@adsm.co.ae,,,,,,
,,,,P.O.Box 54500,,,,,,,,
Abu Dhabi Services Office,Transport,UAE,Abu Dhabi,P.O.Box 746,Tel: +971 2-6335567,adso@emirates.net.ae,adso@emirates.net.ae,,,,,
,,,,,Fax: 02-6215529,,,,,,,
,,,,,Fax: 02-6344886,,,,,,,
Abu Dhabi Sewerage Services Company,Power and Utilities,UAE,Abu Dhabi,P.O.Box 2218,Tel: +971 2-696-2666,ayesha.alnuaimi@adssc.ae,ayesha.alnuaimi@adssc.ae,,,,,
,,,,,Fax: +971 2-676-1200,,,,,,,
