AMIR ASIM & COMPANY ,aac@brain.net.pk ,42-7720771,202 NIMAK MANDI ; BADAMI BAGH ; LAHORE; PAKISTAN ,Pakistan,Machinery  , 

HOUSE OF COMMERCE INTERNATIONAL LTD ,mehrdad@hocint.com ,97148812092,P.O.BOX 17593 ;DUBAI ;U.A.E. ,United Arab Emirates,Machinery  , 

SKY BLUE INCOR NIGERIA LIMITED ,skyblue_house@yahoo.com ,234-34-240372,48;OBA ADESIDA ROAD AKURE;ONDO STATE;NIGERIA ,Nigeria,Machinery  , 

BAHWAN BUILDING MATERIALS LLC ,bahwanbm@omantel.net.om ,00-968-7713752,POST BOX-169;POSTAL CODE-113; MUSCAT;OMAN ,Oman,Machinery  ,WWW.SUHAILBAHWANGROUP.COM 

TECHNOSUN PUERTO RICO ,technosun@coqui.net ,1-787-258-8081,HC06 Box 76216; Caguas; PUERTO RICO ,Puerto Rico,Machinery  , 

DISCOVISION ASSOCIATES ,Laguna311@hotmail.com ,949-660-5000,2355 MAIN STREET; #200; IRVINE;CALIFORNIA;U.S.A. ,United States,Machinery  , 

MICRO MESH (INDIA) PVT. LTD. ,micromeshindia@rediffmail.com ,27495872,BG-3; EAST SHALIMAR BAGH;NEW DELHI;INDIA ,India,Machinery  , 

RICHTER & NOTHARDT TRADING CONCEPTS S.L. ,info@rantracon.com ,4.92E+11,IN DER SCHRATWANNE 6;31141 HILDESHEIM;GERMANY ,Germany,Machinery  , 

BABTEEN CO. ,binslman@hotmail.com ,96626502844,sharfia  king Fahed st.; SAUDI ARABIA ,Saudi Arabia,Machinery  , 

SHING FUNG TAI CO. ,sftco@tdctrade.com ,852-25498657,RM.502.25 DES VOEUX ROAD WEST ;HONGKONG ,HongKong,Machinery  , 

ALMACEN DE LOS DULCES INC ,almacendelosdulces@hotmail.com ,(787)762-5997,HC01 BOX 5212;CANOVANAS P.R  00729;PUERTO RICO ,Puerto Rico,Machinery  , 

MASKN TECHNOLOGIES ,shoaib@maskn.com ,92425161003,254 - N; MODEL TOWNLAHOREPAKISTAN ,Pakistan,Machinery  ,www.maskn.com 

MULTI-IMAGE EXPERT GROUP ,mohammad_alhomedan@hotmail.com ,96614451832,Riyadh; SAUDI ARABIA ,Saudi Arabia,Machinery  , 

RUBINETA UAB ,info@rubineta.com ,37068622882,DOBKEVICIAUS STR. 6;VILNIUS;LITHUANIA ,Lithuania,Machinery  ,www.rubineta.com 

NORWEGIAN COLLEGE OF FISHERY SCIENCE ,paalw@nfh.uit.no ,47-77646059,UNIVERSITY OF TROMSO;9037 TROMSO;NORWAY ,Norway,Machinery  ,www.nfh.uit.no 

OBAID ASSCOCIATES; ,first@wol.net.pk ,92427637676,A/1 ALMINAR MARKET OUTSIDE LOHARI GATE KAHORE; PAKISTAN ,Pakistan,Machinery  , 

ELEMAT ,sabani@otenet.gr ,3012583920,MEANDROU 86 ,Greece,Machinery  , 

POP HERO HOLDINGS LIMITED ,anson.young@pmtproduction.com ,85231881822,12/F.; HOU FENG INDUSTRIAL BUILDING;1-5 WING KIN ROAD; KWAI CHUNG; N. THONGKONG ,HongKong,Machinery  ,www.pmtproduction.com 

WAH SHING ENGINEERING CO. ,engrg@wahshingref.com ,85227967231,RM.17;7/F.;INTERNATIONAL PLAZA;20 SHEUNG YUET RD. KLN BAY; KLN.HONGKONG ,HongKong,Machinery  ,www.wahshingref.com 

MIDDLE EAST AGRICULTURE CO. ,meac@meac.com.sa ,4938627,P.O. BOX 49921;RIYADH 11513SAUDI ARABIA ,Saudi Arabia,Machinery  , 

MECHTRONICS HONG KONG LTD ,stella@mechtronics.com.hk ,(852)26901612,UNIT 52; 11/F; BLOCK E; WAH LOK INDCTR; 31-35 SHAN MEI ST; FOTAN; NT;HONGKONG ,HongKong,Machinery  , 

B.S. ATTWALL CO & LTD ,bsattwall@btconnect.com ,4.41E+11,9/11 CANNOCK STREET; U.K. ,United Kingdom,Machinery  , 

PRIME EMPIRE INTERNATIONAL TRADING CO.LTD ,sugltd@biznetvigator.com ,852-25731309,UNIT D;10/F;PHASE 2; SUPERLUCKYINDUSTRIAL CENTER;TSUEN WAN;N.T;HONGKONG ,HongKong,Machinery  , 

GOLDACRES ,brett@goldacres.com.au ,1.16E+12,1-3 North Western Rd; AUSTRALIA ,Australia,Machinery  ,www.goldacres.com.au 

POWER KONSTECH; INCORPORATED ,pocholo.lamson@powerkonstech.com ,6327230702,152 F.BLUMENTRITT ST.COR.R.PASCUAL;SAN JUAN; METRO MANILA;PHILIPPINES ,Philippines,Machinery  , 

NOVARA LTD ,budapest@novara.hu ,3677422561,KOROSI UT 236400 KISKUNHALASHUNGARY ,Hungary,Machinery  ,www.novara.hu 

JATTO CO.LTD ,gondo@muh.biglobe.ne.jp ,81-489-57-3901,7-1-12 YOSHIOKA BLDG 3F; WASEDA;MISATO; SAITAMA;JAPAN ,Japan,Machinery  , 

IMHM TRADE ,d.attar@tiscali.fr ,33491179064,165 AVE DU PRADO ,France,Machinery  ,www.imhm-trade.com 

GLADNOTE DEVELOPMENT LTD. ,gladnote@netvigator.com ,23978928,Unit 1; 3/F.; Henley Industrial Centre; 9-15 Bute Street; Mongkok; Kowloon; HONGKONG ,HongKong,Machinery  , 

XIAMEN JIA DA QUAN VALVES & FITTINGS CO.;LTD.;CHINA ,china_valve_fitting@hotmail.com ,0086-592-5527803,6G; No. 32 Lianhua Square; Xiamen; CHINA ,china,Machinery  ,http://www.china-valve-fitting.com 

ASHFAQ TRADERS ,ashfaqmushtaq@hotmail.com ,0092-41-638721,AL-NOOR ELECTRONICS MARKETE OFFICE#1BHAWANA BAZAR;PAKISTAN ,Pakistan,Machinery  , 

FULCHAND HAZARIMAL ,manishjj@vsnl.net ,91-20-26342429,419 R.S.KEDARI ROAD; INDIA ,India,Machinery  , 

M/S; JEWEL ENTERPRISE ,jewel_arg@yahoo.com ,88-02-7318979,29/3 ALI HOSSAIN KHAN ROAD;MOULVI BAZAR;DHAKA-1100;BANGLADESH ,Bangladesh,Machinery  , 

ITTEHAD INSULATION (PRIVATE) LIMITED ,icco@cyber.net.pk ,0092212212116-7,Room No 616; Hussain Trade Center; Altaf Hussain Road; New Challi; Karachi; PAKISTAN ,Pakistan,Machinery  , 

HYUNDAI SANGSA HK LTD. ,evanslaw@hyundaicorp.com ,(852)28421544,3201 GREAT EAGLE CENTRE;23 HARBOUR ROAD; WANCHAI;HONGKONG ,HongKong,Machinery  ,www.hyundaicorp.com 

IMS INTERNATIONAL LTD ,felix@imasu.com ,28808011,2804 A & B; CABLE TV TOWER;9 HOI SHING RD;TSUEN WAN; N.T.;HONGKONG ,HongKong,Machinery  ,www.imasu.com 

GUANXIAN GUANXIN MACHINERY FACTORY ,ghx88@126.com ,13001758278,GUANXIAN;Liaocheng;Shandong; CHINA ,china,Machinery  , 

STEMPEDE TRADING AND ENGINEERING COMPANY LTD. ,stempedewk@netvigator.com ,25914199,RM1001; 10/F;48-62 HENNESSY ROADWANCHAI ;HONGKONG ,HongKong,Machinery  , 

MEHMOOD TRADERS ,mehmoodt@cyber.net.pk ,92215681402,8 AMIR ELECTRONICS MARKET SOHRABKATRAK ROAD SADDER KARACHI-3;PAKISTAN ,Pakistan,Machinery  , 

ALREHAIMI MAINTENANCE AND CONTRACTING ,zaki_rehaimi@yahoo.com ,9.67E+11,BOX 1142;ALKHOBAR 31952;SAUDI ARABIA ,Saudi Arabia,Machinery  , 

ONONWEGO CONSTRUCTION LIMITED ,dadastevo@yahoo.co.uk ,2.33E+12,P.O.BOX 6326 ACCRA-NORTH; GHANA ,Ghana,Machinery  , 

FIEUW KOELTECHNIEK ,jan@fieuw.be ,3251209073,HOGE BARRIERESTRAAT 3; BELGIUM ,Belgium,Machinery  ,http://www.fieuw.be 

SWED TRADING EST. ,swedco@mail.sy ,9.63E+11,P.O.BOX 35241DAMASCUS;SYRIA ,Syria,Machinery  ,www.swedco.net 

DOMAR; S.A. ,jordi.solsona@tdomar.com ,34935140800,VERNEDA ST; ROCA INDUSTRIAL PLACE;SPAIN ,Spain,Machinery  ,www.taurusgroup.com 

SHUNYI ,tchoulai@hotmail.com ,33130649244,30 bis rue Johannes Gutenberg  Guyancourt; FRANCE ,France,Machinery  , 

HTALTH BANG LIN INTERNATONAL CO;LTD. ,manseng@mail.apol.com.tw ,886-2-89838226,2F;NO.1LANE 118;CHUNG HSING ROAD;SEC.1;WUKU COUNTRY;TAIPEI HSIEN;.TAIWAN ,China Taiwan,Machinery  , 

MARITIME ENTREPRENEURS PTE LTD ,jabed@mepl-bd.com ,880-2-9554478,RAHMAN CHAMBER 2ND FLOOR12-13 MOTIJHEEL C/A; DHAKA-1000;BANGLADESH ,Bangladesh,Machinery  , 

HALA PLASTIC ,AYHCOMP@GO.COM ,9626-412-5900,P.O. BOX 620253;JORDAN ,Jordan,Machinery  , 

MILLENNIUM IMPEX PVT. LTD. ,milenium@vsnl.com ,91-11-26427157,PT 62/6; KALKA JI;1NEW DELHI - 110 09;INDIA ,India,Machinery  , 

SUNTORY GUANGZHOU FOODS LTD ,amamiya@suntory-sgf.com.cn ,020-8363-3224,Re1104;Yi An Plaza;No33;jian she Sixth Road; CHINA ,china,Machinery  , 

PROTHERM ENGINEERING PVT. LTD. ,sunjeev@prothermindia.com ,9.11E+11,FCA-3739-A; SGM NAGAR; NIT;FARIDABAD - 121 001;INDIA ,India,Machinery  , 

AMIN MECHANICAL INDUSTRIES ,aminmec@hotmail.com ,92-21-7213574,RAMSWAMI NISHTER ROAD;KARACHI;PAKISTAN ,Pakistan,Machinery  ,www.aminmechanical.com 

E & O HARDWARE & TIMBER SDN BHD ,juara88@yahoo.com ,603-61899941,25; JLN SAMUDRA BARAT 3;SAMUDRA INDUSTRIAL PARK;BATU CAVES; 68100;SELANGOR;MALAYSIA ,Malaysia,Machinery  , 

DUTCH BUSINESS ASSOCIATION ,gzinpec@public.guangzhou.gd.cn ,38258022,30F.HITEC BUILDING;906#;TIANHE BEIROAD;GUANGZHOU;CHINA;HOLLAND ,Netherlands,Machinery  , 

AKA INTERNATIONAL CO.; LTD. ,aka.co.ltd@eudoramail.com ,880-2-9126666,88; RAILWAY MARKET; TEJKUNIPARA;TEJGAON; DHAKA:1215;BANGLADESH ,Bangladesh,Machinery  , 

S V PACKAGINGS ,yogeshsham@glide.net.in ,91-181-5074178,D-178 FOCAL POINT EXTENSION;JALANDHAR;INDIA ,India,Machinery  ,- 

???????? ,sales@pumpsmarket.com ,(852)23939503,?????????64???????1/F;B3?; HONGKONG ,HongKong,Machinery  ,http://www.pumpsmarket.com 

APETRECHOS NAVAIS METAIS VENG CHEONG ,tanmvc@hotmail.com ,572914,TRAVESSA ALMIRANTE SERGIO;NO. 7-7A; R/C.EDIFICIO CHEONG SENG;MACAU. ,China Macao,Machinery  , 

TEESIN MACHINERY PTE LTD.; ,beelan@teesin.com.sg ,67581211,NO.15; SENOKO DRIVE;SINGAPORE 758202;SINGAPORE ,Singapore,Machinery  , 

TAST LIGHT OY ,eastlight@eastlight.fi ,3.58E+11,HORJALVIIKINTIE 5 UUSISUMMA 49420 HAMINA;FINLAND ,Finland,Machinery  ,www.eastlight.fi 

MEHTA BROTHERS & COMPANY ,mehtabrothers@hathway.com ,-23421592,54; NAGDEVI CROSS LANE; MUMBAI - 400003 INDIA ,India,Machinery  , 

DW CORP ,electronics@yahoo.co.kr ,02-586-6111,1675-13 YOUNGIL B/D 601;SEOCHO-DONG; SEOCHO-GUSEOUL;KOREA ,South Korea,Machinery  ,www.dwcorp.co.kr 

China Saide Electric Co.;Ltd ,angel_zheng2002@hotmail.com ,0086 577 62750308,Xinshi East Street Liushi Yueqing Zhejiang ,china,Machinery  ,www.chsaide.com 

HUNG PUMP INDUSTRIAL CO.; LTD ,kenny@pumps.com.tw ,886-2-28472419,8F; NO.251 SAN-MING RD.LOU-CHOU CITY;TAIPEI COUNTY;TAIWAN ,China Taiwan,Machinery  , 

CHI FUNG PUMPING WORKS CO.; LTD. ,info@chifung.com.hk ,(852)23209914,9/F.; WANG FAI IND. BLDG.;29 LUK HP ST; SAN PO KONG; KOWLOON.HONGKONG ,HongKong,Machinery  ,www.chifung.com.hk 

NORDPOST AB / GRANNGARDEN AB ,joakim@nordpost.se ,+46 17185704,Annelund  S-745 40 Enkoping; SWEDEN ,Sweden,Machinery  , 

TRIARIES INVESTMENT CONSULTING ,neoagogo@hotmail.com ,626-285-1771,168 S.San Gabriel Blvd.; U.S.A. ,United States,Machinery  , 

CORRO BOX INDUSTRIES ,corro_box@hotmail.com ,042-7970113,PLOT#4 BEHIND HAROON SCALE 15 KM LAHORE SHIEKHU PURA ROAD JAVED NAGIR PAKISTAN ,Pakistan,Machinery  , 

DEEPLOONG LIMITED ,deeplong@yahoo.com.hk ,25727682,14A-B CHANG PAO CHING BLDG.;427-429 HENNESSY RD.;;HONGKONG ,HongKong,Machinery  , 

PT HAREDA PRIMATA YA ,Sandy@yymetro.com ,21-6293149,JL:LAKSA 1/92;MENADO INDDNE SIA;INDONESIA ,Indonesia,Machinery  ,www.yymetro.com 

ORIENTAL DE SIAM GLOBAL TRADING CO.; LTD. ,winna@cscoms.com ,(02)5332026,1/9 MOO3 LUMLOOGGA RD.LADSAWHY;LUMLOOGGAPATHUMTHANI 12150THAILAND ,Thailand,Machinery  , 

WEATHERFORD ASIA PACIFIC ,chris.hopkins@weatherford.com ,0755-2686-0068,4F.; Chiwan Petroluem Building; Shekou; Shenzhen; CHINA ,Other,Machinery  ,weatherford.com 

WEIDI IMPORT & EXPORT;LTD. ,export@weidi88.com ,001-415-876-0210,PHILIP GO; 835 CLAY STREET SUITE 202SAN FRANCISCO; CA 94108;U.S.A. ,United States,Machinery  , 

MECH TECH INTERNATIONAL ,mechtechintl@yahoo.com ,92214388783,A 141 FIRST FLOOR; BLOCK # 8; K.A.E.C.H.SOCIETY; KARACHI ; PAKISTAN ,Pakistan,Machinery  , 

MAG H & W PTD. LTD. ,lovlymecn@yahoo.com ,6565852534,80; MARINE PARADE ROAD #15-05/06;PARKWAY SINGAPORE 449269;SINGAPORE ,Singapore,Machinery  , 

RAINBOW CORPORATION ,rainbow99crp@yahoo.com ,00880-31-811854,BENGAL SHIP HOUSE(1STFL);73 AGRABAD COMMERCIAL AREA;CHITTAGONG;BANGLADESH ,Bangladesh,Machinery  ,x 

FRIULAIR THAILAND ,roberto@friulair.co.th ,38400673,49/5 MOO 5; TUNGSUKHLA;SRIRACHA;CHONBURY;THAILAND ,Thailand,Machinery  ,www.friulair.com 

?????????? ,sizai@sengoku.sina.net ,0769-3732881,?????????????; CHINA ,china,Machinery  , 

GOEL ENGINEERS (INDIA) ,sales@goelka.com ,9.11E+11,F-11/A; OKHLA INDUSTRIAL AREA;PHASE 1;NEW DELHI;INDIA ,India,Machinery  ,www.goelka.com 

KIE BIE HIN (H.K.) TRADING CO. ,christine_chong@westlb.co.jp ,(852)96215530,FLAT B; 24/F; BLOCK 2; CITY GARDEN;233 ELECTRIC ROAD; NORTH POINTHONGKONG ,HongKong,Machinery  , 

ART OF PERFUMES CO. ,artofperfumesco@yahoo.com ,96612961005,P.O.Box 34904 ,Saudi Arabia,Machinery  , 

MORGAN INDUSTRIES LIMITED ,email@morganind.com ,0091-44-28236060,109 MAHATMA GANDHI ROAD;NUNGAMBAKKAM; CHENNAI - 600034;TAMILNADU;INDIA ,India,Machinery  ,www.magictapes.com 

WONZY ENTERPRISE ,wonyv66@yahoo.com ,233-244-266247,P.O.BOX.DS 845 DANSOMAN;ACCRA;GHANA ,Ghana,Machinery  , 

EUROLINE AB ,pas_euroline@yahoo.se ,46708866600,Jacobs vag 4; SWEDEN ,Sweden,Machinery  , 

PARS DIESEL CO ,farshidgazeranchi@hotmail.com ,98213115890,no.255 south saadi ave; postal zone 11438; IRAN ,Iran,Machinery  , 

COSMOR INDUSTRIES LIMITED ,sabincosmor@hotmail.com ,25668109,12/F; AT TOWER;180 ELECTRIC RD.;NORTH POINT;HONGKONG ,HongKong,Machinery  ,www.cosmor.com.hk 

AWA; LLC ,oosan@yahoo.com ,7202992229,6136 S. BOSTON CIRCLE;ENGLEWOOD CO 80111USA ,United States,Machinery  , 

LIANSU INTERNATIONAL DEVELOPMENT CO. LTD. ,liansu@netvigator.com ,27128405,RM.507; HANG BONG COMMERCIAL CENTRE;28 SHANGHAI ST.KOWLOON;HONGKONG ,HongKong,Machinery  ,www.liansu.com 

MOTO-QUIP ,mwleew@mweb.co.za ,27118224150,30 NORTH REEF ROADELANDSFONTEINSOUTH AFRICA ,South Africa,Machinery  , 

PT.MAJU MANDIRA UTAMA ,mmunet@indosat.net.id ,62-21-4205533,JL. BUNGUR BESAR NO.87A/B/C/F JAKARTA 10620;INDONESIA ,Indonesia,Machinery  , 

APITCO ,bs@apitco.org ,91-40-23237333,PARISRAMA BHAVANAM;BASHIRBAGH; HYDERABAD;INDIA ,India,Machinery  ,www.apitco.org 

AIRTEL ,juned@xirus.net ,880-821-710417,RAHMAN MANSION; JALLARPAR ROAD;SYLHET-3100;BANGLADESH ,Bangladesh,Machinery  , 

NICEPORT INTERNATIONAL LTD ,jetmi@net-yan.com ,29816340,Flat E; 2/F; Block 6; Villa Esplanada; Tsing Yi; Hong Kong; ALGERIA ,Algeria,Machinery  , 

FONG KEE INVESTMENT LIMITED ,tomchiu2001@yahoo.com.hk ,(852)97894806,A2 G/F 29TAK MAN ST HUNGHOMKOWLOON;HONGKONG ,HongKong,Machinery  , 

QUALITY HYDRAULIC POWER LIMITED ,HelenF@qhp.co.uk ,0044-1244-393509,UNIT 5; CHELFORD CLOSE;SEALAND IND. ESTATE; CHESTER;CHESHIRE; U.K. CH1 4NE;U.K. ,United Kingdom,Machinery  ,http://www.qhp.co.uk 

AL MADAEN STAR GROUP ,headoffice@madaenstar.com ,96614771172,P.O.BOX 41795;RIYADH 11531;SAUDI ARABIA ,Saudi Arabia,Machinery  ,www.madaenstar.com 

SALCI DEMIR TIC.SAN.LTD.STI. ,csaalci@superonline.com ,0212-2403875,CAGLAYAN PARK SOK.NO:36 34403KAGITHANE-ISTANBUL;TURKEY ,Turkey,Machinery  ,www.salci.com.tr 

FOSTER ELECTRONIC & ELECTRICAL MFG CO ,faeco@netvigator.com ,852-28187049,20; CATCHICK ST; MAN HINGFACTORY BLDG 11TH BLOCK A;HONG KONG; ,HongKong,Machinery  , 

HAMID FALLAH TRADING CO. L.L.C. ,fallah77@emirates.net.ae ; hftsale7@emirates.net.ae ,00971-4-2247763,STAR MARKET;SABKHA;OPP FAROOK STATNERY SHOWROOM NO.7&8P.O.BOX 14860;DUBAI;U.A.E. ,United Arab Emirates,Machinery  , 

CLEARPACK GUANGZHOU OFFICE ,gwccpa@public.guangzhou.gd.cn ,(020)88572033,Room 302; East 13; Guihua Hill; Canton; CHINA ,china,Machinery  ,www.clearpack.com 

SINO MINMETALS CO.;LTD. ,LIJUN@ONLINE.LN.CN ,852-25232068,ROOM 2004;20/F;GLOUCESTER TOWER;THE LANDARK; CENTRAL;HONGKONG ,HongKong,Machinery  , 

AMERISAFE INDUSTRIES; INC. ,jrubio@ameriworld.com ,1-305-477-4222,6996 N.W. 82 Avenue; U.S.A. ,United States,Machinery  ,www.ameriworld.com 

VINEMATIM''''S BRANCH IN HCM CITY ,vinematim@hcm.vnn.vn ,84-8-8295274,89 LE THANH TON ST.DIST.1- HCM CITY;VIETNAM ,Vietnam,Machinery  , 

TONEKS VENTURES LIMITED ,centchuksindaclub@yahoo.com ,8023408673,suru alaba mile 2 shopping complex; NIGERIA ,Nigeria,Machinery  ,www.toneks.com 

HONG KONG MATSUMOTOSHO CO.;LIMITED ,jemhk@netvigator.com ,23116679,FLAT A-B;12/F.;MASS RESOURCES DEVELOPMENT BLDG.;12 HUMPHREYS AVE.;KOWLOON;;HONGKONG ,HongKong,Machinery  , 

SILMAR S.R.L. ,delfino@silmar-srl.it ,3.90E+11,PIAZZA C.GOGLI; 26/1;16011 ARENZANO(GE)ITALY ,Italy,Machinery  ,www.silmar-srl.it 

JOYTECH PRODUCTS CO.;LTD. ,joytech@ms8.hinet.net ,886-2-23582899,P.O.BOX 5-13;TAIPEI;TAIWAN ,China Taiwan,Machinery  , 

THE HALEX COMPANY ,xzheng@halexco.com ,0769-7924048-158,23901 AURORA ROAD;CLEVELAND;OH 44146;U.S.A. ,United States,Machinery  ,http://www.halexco.com 

DALEN LIMITED ,alan@top-tec.co.uk ,0044(0)1217833838,VALEPITS ROAD; GARRETTS GREEN;BIRMINGHAM; WEST MIDLANDS;B33 0TD ENGLAND;U.K. ,United Kingdom,Machinery  ,www.top-tec.co.uk 

SHENG YEE PRECISION AUTOMATIC LATHE SDN BHD ,shengyee@tm.net.my ,607-7733752,5&9;JALAN SATRIA; TAMAN TITIWANGSA;86000 KLUANG; JOHOR;MALAYSIA ,Malaysia,Machinery  , 

BALAMA PRIMA ENGINEERING EQUIPMENT CO LTD ,martinli@balama.com.hk ,25422872,7/F HING LUNG COMMERCIAL BLDG.;68-74 BONHAM STRAND EAST;SHEUNG WAN;HONGKONG ,HongKong,Machinery  ,www.balama.com.hk 

PRECISE ENGINEERS ,BELLOWSD@WILNETONLINE.NET ,0091-2692-235344,705/18; PHASE IV; GIDC ESTATE;VITTHAL UDYOGNAGAR;DISTRICT ANAND ;INDIA ,India,Machinery  ,WWW.PRECISEBELLOWS.COM 

NICE FORKLIFT ENGINEERING LIMITED ,info@niceforklift.com ,23868380,G/F; 206 HAI TAN STREET;SHAM SHUI PO; KOWLOON;HONGKONG ,HongKong,Machinery  ,www.niceforklift.com 

CHOP SIN KIM HIN ,knhieng@tm.net.my ,84654049,12 WHARF ROAD;SARIKEI SARAWAKMALAYSIA ,Malaysia,Machinery  , 

BRILLIANT GLOBAL DEVELOPMENT LTD. ,shaw99hk@netvigator.com ,852-3158-4708,UNIT 2301; 23/F.; WING TUCK COMMERCIAL CENTRE; 177-183; WING LOK STREET;SHEUNG WAN; HONG KONG; HONGKONG ,HongKong,Machinery  , 

