Al Manhal Water Factory,sales@almanhal.com,sales@almanhal.com,Agriculture and Food,KSA,Riyadh,Lot CP,Tel: +966 1-265-0000
Al Marai Company,www.almarai.com,www.almarai.com,Agriculture and Food,KSA,Riyadh,Dammam Road,Tel: +966 1-470-0005
Al Muhaidib Foods,www.am-food.com,www.am-food.com,Agriculture and Food,KSA,Dammam,P.O.Box 9149,Tel: +966 3-832-8888
Al Munajem Group,www.munajem.com,www.munajem.com,Agriculture and Food,KSA,Riyadh,P.O.Box 2395,Tel: +966 1-478-7933
Al Osama Trading Company,www.asdco.com.sa,www.asdco.com.sa,Agriculture and Food,KSA,Jeddah,Ibrahim Shaker Building,Tel: +966 2-644-5041
Al Othman Agricultural Production and Processing Company,www.nadadairy.com,www.nadadairy.com,Agriculture and Food,KSA,Al Ahsa,Al Othman Building,Tel: +966 3-532-0000
Al Rabie Saudi Foods Company,www.alrabie.com,www.alrabie.com,Agriculture and Food,KSA,Riyadh,P.O.Box 42787,Tel: +966 1-498-0000
Al Safi Dairy,,,Agriculture and Food,KSA,Riyadh,"Markaz Nimr, Building 1",Tel: +966 1-270-1444
Al Safi-Danone,,,Agriculture and Food,KSA,Riyadh,Al Nimr Center,Tel: +966 1-461-0077
Al Sanie Corporation for Agricultural Investment,www.al-yamama.com.sa,www.al-yamama.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 20270,Tel: +966 1-498 6107
Al Watania Poultry,www.al-wataniapoultry.com,www.al-wataniapoultry.com,Agriculture and Food,KSA,Riyadh,P.O.Box 21437,Tel: +966 1-492-2188
Al Wedyan National Company for Food Products,www.al-wedyan.com/,www.al-wedyan.com/,Agriculture and Food,KSA,Jeddah,P.O.Box 19291,Tel: +966 2-638-0723
Alpha Trading and Shipping Agencies,central@alpha-trading.com,central@alpha-trading.com,Agriculture and Food,KSA,Jeddah,P.O.Box 205,Tel: +966 2-644-0808
Arab Saudi Company for Poultry Production,,,Agriculture and Food,KSA,Buraydah,P.O.Box 1842,Tel: +966 6-323 0074
Arabia Commercial Agency Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 811,Tel: +966 2-644 4212
Arabian Agricultural Services Company,www.arasco.com,www.arasco.com,Agriculture and Food,KSA,Riyadh,P.O.Box 53845,Tel: +966 1-419-1933
Arabian Agricultural Systems Company,aascoltd@deltasa.com,aascoltd@deltasa.com,Agriculture and Food,KSA,Riyadh,P.O.Box 6543,Tel: +966 1-476 1153
Arabian Trading Company for Cold Storage,atc-jeddah@sps.net.sa,atc-jeddah@sps.net.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 1393,Tel: +966 2-636-4262
Arba Company,arbaco@sps.net.sa,arbaco@sps.net.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 88717,Tel: +966 1-454 5664
Ash-Sharqiyah Agricultural Development Company,www.asharqiyah.com.sa,www.asharqiyah.com.sa,Agriculture and Food,KSA,Dammam,Al Calssum Building,Tel: +966 3-842-9119
Azmi Corporation,azmicorp@hotmail.com,azmicorp@hotmail.com,Agriculture and Food,KSA,Riyadh,P.O.Box 53473,Tel: +9661-463 0451
Badrah Saudi Factories Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 1678,Tel: +966 2-643 0255 (4 lines)
Basamh Trading Company,www.basamh.com,www.basamh.com,Agriculture and Food,KSA,Jeddah,P.O.Box 427,Tel: +966 2-660-6668
Bateel,www.bateel.com.sa,www.bateel.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 197,Tel: +966 1-265-2477
Bisha Agricultural Development Company,,,Agriculture and Food,KSA,Bisha,P.O.Box 31,Tel: +966 7-622 2400
Coca-Cola Bottling Company of Saudi Arabia,,,Agriculture and Food,KSA,Dammam,P.O.Box 965,Tel: +966 3-847-4111
Food and Fine Pastries Manufacturing Company,www.ffpgroup.com/,www.ffpgroup.com/,Agriculture and Food,KSA,Riyadh,P.O.Box 8960,Tel: +966 1-464 0289
Gassim Agricultural Company,gaco@awalnet.net.sa,gaco@awalnet.net.sa,Agriculture and Food,KSA,Buraidah,P.O.Box 2210,Tel: +966 6-328-1999
General Trading Company,,,Agriculture and Food,KSA,Al Khobar,P.O.Box 319,Tel: +966 3-857-5622
Golden Grass,www.goldengrass.com,www.goldengrass.com,Agriculture and Food,KSA,Riyadh,Ibn Khuzaimah Street,Tel: +966 1-478-3024
Gulf Vegetable Oil Company,info@ajwagroup.com,info@ajwagroup.com,Agriculture and Food,KSA,Dammam,King Abdulaziz Port,Tel: +966 3-859-0061
Hail Agricultural Development Company,www.hadco.com.sa,www.hadco.com.sa,Agriculture and Food,KSA,Hail,Hail Qassim Road,Tel: +966 6-520-0011
Halwani Brothers,www.halwani.com.sa,www.halwani.com.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 690,Tel: +966 2-636-6667
Health Water Bottling Company,www.hwb-sa.com,www.hwb-sa.com,Agriculture and Food,KSA,Riyadh,Al Oda Building,Tel: +966 1-263-3300
Ibrahim Abunayyan Sons Group,www.abunayyan.com.sa,www.abunayyan.com.sa,Agriculture and Food,KSA,Riyadh,King Fahed Street,Tel: +966 1-459-3686
Jazan Development Company,www.jazadco.com.sa,www.jazadco.com.sa,Agriculture and Food,KSA,Jizan,Al Kournish Street,Tel: +966 7-322-2162
Jorephanco Trading and Contracting Company,www.jorephanco.com,www.jorephanco.com,Agriculture and Food,KSA,Al Khobar,P.O.Box 1046,Tel: +966 3-867 7651
Modern Dairies Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 3981,Tel: +966 2-637-1781
Mohamed Said Fakhry,,,Agriculture and Food,KSA,Jeddah,Al Fakhry Building,Tel: +966 2-642 2539
Mujally A Bamujally United Company,www.m-bamujally.com,www.m-bamujally.com,Agriculture and Food,KSA,Jeddah,P.O.Box 112,Tel: +966 2-647 4236
Nashar Trading Company,www.nashar.com,www.nashar.com,Agriculture and Food,KSA,Jeddah,P.O.Box 6697,Tel: +966 2-644-0202
National Agricultural Development Company,www.nadec.com.sa,www.nadec.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 2557,Tel: +966 1-404-0000
National Agriculture Marketing Company,www.thimar.com.sa,www.thimar.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 88618,Tel: +966 1-493-3141
National Biscuits and Confectionery Company,www.nbcc.com.sa/,www.nbcc.com.sa/,Agriculture and Food,KSA,Jeddah,P.O.Box 30972,Tel: +966 2-6360606
National Bottling Company - Saudi Arabia,,,Agriculture and Food,KSA,Al Khobar,P.O.Box 4238,Tel: +966 3-894-7779
National Cone and Tahina Factory Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 30824,Tel: +966 2-636-9884
National Food Company - Saudi Arabia,,,Agriculture and Food,KSA,Jeddah,-,Tel: +966 2-637-4747
National Food Industries Company,www.nfic.com.sa,www.nfic.com.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 32040,Tel: +966 2-608-1515
National Food Stuff Manufacturing Company,www.unifoodco.com,www.unifoodco.com,Agriculture and Food,KSA,Jeddah,P.O.Box 1717,Tel: +966 2-608-0500
National Fruit Juice Company,www.nfj-co.com,www.nfj-co.com,Agriculture and Food,KSA,Dammam,P.O.Box 5310,Tel: +966 3-847 2041
National Prawn Company,www.robian.com.sa,www.robian.com.sa,Agriculture and Food,KSA,Al Lith,P.O.Box 20,Tel: +966 7-742-0742
Orient Provision and Trading Company,opct@opctl.net,opct@opctl.net,Agriculture and Food,KSA,Jeddah,P.O.Box 11035,Tel: +966 2-669 0999
Pure Breed Poultry Company,www.taseel.com.sa,www.taseel.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 7065,Tel: +966 1-476-2113
Radwa Food Production Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 1178,Tel: +966 2-653-2160
Rana Confectionery Products Company,,,Agriculture and Food,KSA,Riyadh,P.O.Box 25356,Tel: +966 1-498-0048
Richland Al Nakhlah Establishment,,,Agriculture and Food,KSA,Riyadh,P.O.Box 8524,Tel: +966 1-462 0088
Sanabel Trade and Agricultural Industries Company,www.sanabel.com.sa/,www.sanabel.com.sa/,Agriculture and Food,KSA,Riyadh,P.O.Box 17793,Tel: +966 1-495 4080
Saudi Agricultural Development Company,www.sadcogroup.com,www.sadcogroup.com,Agriculture and Food,KSA,Riyadh,P.O.Box 5147,Tel: +966 1-491 4420
Saudi Arabian Animal Feed Company,,,Agriculture and Food,KSA,Dammam,P.O.Box 173,Tel: +966 3-847-1334
Saudi Coldstorage Company,scc@sps.net.sa,scc@sps.net.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 5507,Tel: +966 2-647-0643
Saudi Fisheries Company,www.saudi-fisheries.com,www.saudi-fisheries.com,Agriculture and Food,KSA,Dammam,P.O.Box 6535,Tel: +966 3-859-1919
Saudi Food Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 2300,Tel: +966 2-693 3617
Saudi Fruit Juice and Beverages Industry,,,Agriculture and Food,KSA,Jeddah,P.O.Box 16302,Tel: +966 2-636 4153
Saudi Industrial Projects Company,,,Agriculture and Food,KSA,Jeddah,Saudi Industrial Projects Company Building,Tel: +966 2-669-2333
Saudi Marketing Company,www.farm.com.sa,www.farm.com.sa,Agriculture and Food,KSA,Dammam,P.O.Box 4605,Tel: +966 3-826-2358
Saudi Snack Foods Company,,,Agriculture and Food,KSA,Riyadh,Al Kharj Road,Tel: +966 1-201-8888
Saudia Dairy and Foodstuff Company,www.sadafco.com,www.sadafco.com,Agriculture and Food,KSA,Jeddah,SADAFCO Regional Distribution Center,Tel: +966 2 629-3366
Sunbulah Food Manufacturing Company,www.ffpgroup.com,www.ffpgroup.com,Agriculture and Food,KSA,Jeddah,P.O.Box 8960,Tel: +966 2-636-8485
Supreme Foods Company,www.sfc-ksa.com,www.sfc-ksa.com,Agriculture and Food,KSA,Riyadh,Mallaz Street,Tel: +966 1-477-5192
Tabuk Agricultural Development Company,www.tadco-agri.com,www.tadco-agri.com,Agriculture and Food,KSA,Tabuk,Jordan Halet Ammar Road,Tel: +966 4-422-9995
United Arabian Beverage Company,,,Agriculture and Food,KSA,Jeddah,P.O.Box 660,Tel: +966 2-682-8479
United Feed Company,ufc@okam.com.sa,ufc@okam.com.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 8680,Tel: +966 2-642-3033
United Food Industries Corporation,www.fresh.com.sa,www.fresh.com.sa,Agriculture and Food,KSA,Khobar,P.O.Box 64,Tel: +966 3-887-0111
United Food Industries Corporation - Deemah,www.deemah.com,www.deemah.com,Agriculture and Food,KSA,Riyadh,P.O.Box 3654,Tel: +966 1-265-2000
United Group,www.unitedgroup.com.sa,www.unitedgroup.com.sa,Agriculture and Food,KSA,Dahran,P.O.Box 64,Tel: +966 3-887-0111
United National Dairy Plant,,,Agriculture and Food,KSA,Al Khobar,P.O.Box 97,Tel: +966 3-856-0000
United Sugar Company,www.unitedsugar.com,www.unitedsugar.com,Agriculture and Food,KSA,Jeddah,P.O.Box 23023,Tel: +966 2-649-2222
Zamil Food Industries,,,Agriculture and Food,KSA,,Jubail Industrial City 31951,Tel: +966 3-341-5235
Abdullah Hashim Company,www.ahg.com.sa,www.ahg.com.sa,Automotive,KSA,Jeddah,P.O.Box 44,Tel: +966 2-647-0531
Abdullatif Al Issa Group,www.alissa-cars.com,www.alissa-cars.com,Automotive,KSA,Riyadh,North Ring Road,Tel: +966 1-275-5000
Al Amoudi Brothers Company,,,Automotive,KSA,Jeddah,P.O.Box 8128,Tel: +966 2-671 4550
Al Esayi Trading Corporation,www.alesayi.com.sa,www.alesayi.com.sa,Automotive,KSA,Jeddah,P.O.Box 1342,Tel: +966 2-620-2000
Al Jazirah Vehicles Agencies Company,www.aljazirahford.com.sa,www.aljazirahford.com.sa,Automotive,KSA,Riyadh,P.O.Box 4416,Tel: +966 1-231-9944
Al Jomaih Automotive Company,www.aljomaihauto.com,www.aljomaihauto.com,Automotive,KSA,Dammam,P.O.Box 224,Tel: +966 3-833-7777
Al Mutlak Trade and Industries,www.almutlak.com,www.almutlak.com,Automotive,KSA,Jeddah,P.O.Box 2076,Tel: +966 2-637-0079
Al Mutlaq Automotive Parts Company,www.almutlaq.com,www.almutlaq.com,Automotive,KSA,Al Khobar,P.O.Box 3069,Tel: +966 3-859-2211
Al Rashed Goodyear,www.alrashedgoodyear.com,www.alrashedgoodyear.com,Automotive,KSA,Al Khobar,P.O.Box 857,Tel: +966 3-857-6550
Al Saif Group,khalifaalsaif@alsaifgroup.com,khalifaalsaif@alsaifgroup.com,Automotive,KSA,Riyadh,P.O.Box 5122,Tel: +966 1-464-8700
Al Saif Motors,,,Automotive,KSA,Riyadh,Al Saif Motors Building,Tel: +966 1-237-0001
Alhamrani United Company,www.nissan.com.sa,www.nissan.com.sa,Automotive,KSA,Jeddah,P.O.Box 6543,Tel: +966 2-669-6690
Arabian Motors and Engineering Company,,,Automotive,KSA,Dammam,P.O.Box 166,Tel: +966 3-827 3508
Badrahn Motors,,,Automotive,KSA,Riyadh,Al Dhabab Street,Tel: +966 1-402-8828
General Machinery Agencies,www.gma.com.sa,www.gma.com.sa,Automotive,KSA,Jeddah,PaleStreetine Street,Tel: +966 2-660 8208
Haji Husein Alireza and Company,www.hha.com.sa,www.hha.com.sa,Automotive,KSA,Jeddah,P.O.Box 40,Tel: +966 2-642-3509
Jamjoom Vehicles and Equipment,www.jamjoom.com/jve.html,www.jamjoom.com/jve.html,Automotive,KSA,Jeddah,P.O.Box 1247,Tel: +966 2-687 2710
Juffali Auto Parts Company,juffali@eajb.com.sa,juffali@eajb.com.sa,Automotive,KSA,Jeddah,Old Makkah Road,Tel: +966 2-624-0111
Juffali Automotive Company,www.juffali.mercedes-benz.com,www.juffali.mercedes-benz.com,Automotive,KSA,Jeddah,Juffali Building,Tel: +966 2-664-5678
Juffali Industrial Products Company,juffali@eajb.com.sa,juffali@eajb.com.sa,Automotive,KSA,Jeddah,Juffali Building,Tel: +966 2-682-2000
Juffali Tyres Company,juffali@eajb.com.sa,juffali@eajb.com.sa,Automotive,KSA,Jeddah,Juffali Building,Tel: +966 2-667-2222
Middle East Battery Company,www.mebco.com,www.mebco.com,Automotive,KSA,Dammam,P.O.Box 13441,Tel: +966 3-812-1221
Mohamed Yousuf Naghi Motors,www.bmw.com.sa,www.bmw.com.sa,Automotive,KSA,Jeddah,P.O.Box 704,Tel: +966 2-669-5333
National Batteries Company,,,Automotive,KSA,Riyadh,P.O.Box 177,Tel: +966 1-265 0019
Omar A Balubaid Company,www.balubaid.com,www.balubaid.com,Automotive,KSA,Jeddah,P.O.Box 213,Tel: +966 2-640-4444
S M Al Amoudi Company,www.smalamoudi.com.sa,www.smalamoudi.com.sa,Automotive,KSA,Jeddah,Al Salam Building,Tel: +966 2-681-1777
Saad Wallan Group,www.wallan.com.sa,www.wallan.com.sa,Automotive,KSA,Riyadh,P.O.Box 3176,Tel: +966 1-491-0808
Safari Motors,www.safarimotors.com,www.safarimotors.com,Automotive,KSA,Riyadh,Safari Motors Building,Tel: +966 1-230-1515
Saudi Automotive Services Company,www.sasco-sa.com,www.sasco-sa.com,Automotive,KSA,Riyadh,P.O.Box 51880,Tel: +966 1-419-1951
Saudi Filters Industry Company,www.saudifilter.com,www.saudifilter.com,Automotive,KSA,Al Khobar,P.O.Box 31872,Tel: +966 3-812-1107
United Brothers Company,,,Automotive,KSA,Jeddah,P.O.Box 6093,Tel: +966 2-653 3287
United Motors Company,www.umc.com.sa,www.umc.com.sa,Automotive,KSA,Riyadh,UMC Building,Tel: +966 1-233-2222
Universal Motors Agencies,www.uma.com.sa,www.uma.com.sa,Automotive,KSA,Dhahran,Dhahran Airport 31942,Tel: +966 3-857-0095
Adhesive Manufacturing Company,amcosd@sps.net.sa,amcosd@sps.net.sa,Basic Materials,KSA,Jeddah,P.O.Box 41019,Tel: +966 2-694-1283
Al Jubail Fertilizer Company,,,Basic Materials,KSA,Al Jubail,Jubail Industrial City,Tel: +966 3-341-6488
Al Saeed Establishment,,,Basic Materials,KSA,Riyadh,P.O.Box 54092,Tel: +966 1-464 4368
Al Sharq Group,,,Basic Materials,KSA,Riyadh,P.O.Box 285,Tel: +966 1-448-8888
Al Tawfiq Company for Plastic and Woven Sacks Industries,www.apws.com.sa,www.apws.com.sa,Basic Materials,KSA,Jeddah,P.O.Box 32368,Tel: +966 2-636-9128
Al Yaseen Agricultural Company,alyaseen@danah.com,alyaseen@danah.com,Basic Materials,KSA,Hofuf,P.O.Box 158,Tel: +966 3-581-5588
Alamdar Vapotherm Company,,,Basic Materials,KSA,Riyadh,P.O.Box 1428,Tel: +966 1-474 9803
Alliance Holding Company,,,Basic Materials,KSA,Riyadh,P.O.Box 556,Tel: +966 1-479-0100
Amiantit Fiberglass Industries Company,www.afilpipe.com,www.afilpipe.com,Basic Materials,KSA,Dammam,P.O.Box 589,Tel: +966 3-847-1500
Amiantit Rubber Industries,www.aril.com.sa,www.aril.com.sa,Basic Materials,KSA,Dammam,P.O.Box 589,Tel: +966 3-847-1500
Arab Paper Manufacturing Company,waraq@atheer.net.sa,waraq@atheer.net.sa,Basic Materials,KSA,Dammam,P.O.Box 9840,Tel: +966 3-812-1255
Arab Pesticide Industries Company,www.mobeed.com.sa,www.mobeed.com.sa,Basic Materials,KSA,Jubail,P.O.Box 11539,Tel: +966 3-358-9752
Arabian Chemical Company,,,Basic Materials,KSA,Jubail,P.O.Box 11571,Tel: +966 3-358-8088
Arabian Chemical Company (Polystyrene),,,Basic Materials,KSA,Jeddah,P.O.Box 5728,Tel: +966 2-667-4620
Arabian Danish Paint Company,www.adpc.com.sa,www.adpc.com.sa,Basic Materials,KSA,Riyadh,P.O.Box 7532,Tel: +966 1-265-0078
Arabian Fiberglass Insulation Company,www.afico.com.sa,www.afico.com.sa,Basic Materials,KSA,Dammam,First Industrial Area,Tel: +966 3-847-1519
Arabian Gulf Manufacturers,,,Basic Materials,KSA,Jeddah,P.O.Box 2143,Tel: +966 2-637-7944
Arabian Minerals and Chemicals Company,,,Basic Materials,KSA,Dammam,P.O.Box 2231,Tel: +966 3-857-9285
Arabian Plastic Compounds Company,,,Basic Materials,KSA,Riyadh,P.O.Box 27507,Tel: +966 1-490 0909
Arabian Plastic Manufacturing Company,www.aplaco-sa.com,www.aplaco-sa.com,Basic Materials,KSA,Riyadh,P.O.Box 6193,Tel: +966 1-448-0250
Arabian Waterproofing Industries Company,www.awazel.com,www.awazel.com,Basic Materials,KSA,Riyadh,P.O.Box 2955,Tel: +966 1-473 1055 (Head Office)
Arnon Plastic Industries Company,www.arnonplast.com,www.arnonplast.com,Basic Materials,KSA,Dammam,P.O.Box 60920,Tel: +966 3-812-2099
Astra Agricultural Company,www.astra-agri.com.sa,www.astra-agri.com.sa,Basic Materials,KSA,Riyadh,P.O.Box 54061,Tel: +966 1-473-1130
Baker Petrolite Saudi Arabia,,,Basic Materials,KSA,Dammam,P.O.Box 1940,Tel: +966 3-847 1814
Banawi Trading and Industrial Group,,,Basic Materials,KSA,Jeddah,P.O.Box 8281,Tel: +966 2-651-3937
Basic Chemical Industries,sales@cmdc.com.sa,sales@cmdc.com.sa,Basic Materials,KSA,Dammam,P.O.Box 1053,Tel: +966 3-847-2466
Bitumat Company,www.bitumat.com,www.bitumat.com,Basic Materials,KSA,Dammam,P.O.Box 7487,Tel: +966 3-812-1040
Bondstrand,,,Basic Materials,KSA,Dammam,P.O.Box 589,Tel: +966 3-857-1160
Building Chemical Industries Company,www.bcic.com.sa,www.bcic.com.sa,Basic Materials,KSA,Dammam,P.O.Box 4238,Tel: +966 3-847-1779
Dammam Factory for Glass Bottles,zoujaj@zoujaj.com,zoujaj@zoujaj.com,Basic Materials,KSA,Dammam,P.O.Box 580,Tel: +966 1-265-2323
Filling and Packing Materials Manufacturing Company,www.fipco.com.sa.,www.fipco.com.sa.,Basic Materials,KSA,Riyadh,2nd Industrial Area,Tel: +966 1-265-2299
Fosam Company,www.fosamfosroc.com,www.fosamfosroc.com,Basic Materials,KSA,Jeddah,P.O.Box 11081,Tel: +966 2-638 0692
Fouz Chemical Company,,,Basic Materials,KSA,Dammam,P.O.Box 974,Tel: +966 3-831-1444
Golden Dunes,www.assawafi.com,www.assawafi.com,Basic Materials,KSA,Jeddah,P.O.Box 6611,Tel: +966 2-221 1667
Gulf Packaging Industries,www.gulfpack-sa.com,www.gulfpack-sa.com,Basic Materials,KSA,Dammam,P.O.Box 8556,Tel: +966 3-847-2244
Gulf Stabilizers Industries,www.gsi.com.sa,www.gsi.com.sa,Basic Materials,KSA,Jubail,P.O.Box 35625,Tel: +966 3-341-7727
Hempel Paints (Saudi Arabia),www.hempel.com.sa,www.hempel.com.sa,Basic Materials,KSA,Dammam,P.O.Box 1077,Tel: +966 3-847-1616
Ibn Hayyan Plastic Products Company,www.farah.com.sa,www.farah.com.sa,Basic Materials,KSA,Jubail,P.O.Box 10273,Tel: +966 3-358-4000
Industrial Chemicals and Resins Company,www.icr.com.sa/,www.icr.com.sa/,Basic Materials,KSA,Dammam,P.O.Box 7952,Tel: +966 3-8122088/9
Ink Products Company,www.inksaudi.com,www.inksaudi.com,Basic Materials,KSA,Riyadh,P.O.Box 23203,Tel: +966 1-446-4185
Jubail Chemical Industries Company,www.jana-ksa.net,www.jana-ksa.net,Basic Materials,KSA,Jubail Industrial City,"Road 263,",Tel: +966 3-358-5002
Juffali Chemical Products,chemical.div@eajb.com.sa,chemical.div@eajb.com.sa,Basic Materials,KSA,Jeddah,Juffali Building,Tel: +966 2-663-3516
Middle East Paper Company - Saudi Arabia,www.middleeastpaper.com,www.middleeastpaper.com,Basic Materials,KSA,Jeddah,P.O.Box 32913,Tel: +966 2-231-1150
Moajil Sack Factory,,,Basic Materials,KSA,Jubail,P.O.Box 10268,Tel: +966 3-341-2431
Modern Insulation Industries Company,,,Basic Materials,KSA,Riyadh,P.O.Box 27335,Tel: +966 1-265 0034
National Chemical Fertilizer Company,,,Basic Materials,KSA,Jubail,Jubail Industrial Area,Tel: +966 3-341-9988
National Company for Glass Industries,www.zoujaj.com,www.zoujaj.com,Basic Materials,KSA,Riyadh,P.O.Box 88646,Tel: +966 1-265-2323
National Factory for Glass Bottles,,,Basic Materials,KSA,Riyadh,P.O.Box 41619,Tel: +966 1-265-2323
National Factory for Plastic Industry,,,Basic Materials,KSA,Jeddah,P.O.Box 3449,Tel: +966 2-637 2519
National Fertilizer Company,www.nafkal.com,www.nafkal.com,Basic Materials,KSA,Riyadh,P.O.Box 1239,Tel: +966 1-265 2266
National Industrial Gases Company,,,Basic Materials,KSA,Jubail,P.O.Box 10110,Tel: +966 3-357-5700
National Marketing Establishment,www.namat.com,www.namat.com,Basic Materials,KSA,Jeddah,P.O.Box 16375,Tel: +966 2-647 2502
National Packing Products Company,www.watanpac.com.sa/,www.watanpac.com.sa/,Basic Materials,KSA,Riyadh,P.O.Box 25817,Tel: +966 1-265 2211
National Plastic Company,,,Basic Materials,KSA,Jubail,Jubail 31961,Tel: +966 3-358 7000
National Plastic Factory - Saudi Arabia,,,Basic Materials,KSA,Riyadh,P.O.Box 6447,Tel: +966 1-448 0142
National Titanium Dioxide Company,www.cristalarabia.com,www.cristalarabia.com,Basic Materials,KSA,Jeddah,P.O.Box 13586,Tel: +966 2-651-4649
Oasis Ameron,,,Basic Materials,KSA,Al Khobar,P.O.Box 4926,Tel: +966 3-812 1300
Obeikan Investment Group,www.obeikan.com.sa,www.obeikan.com.sa,Basic Materials,KSA,Riyadh,Obeikan Investment Group Building,Tel: +966 1-265-1144
Red Sea Paints Factory,,,Basic Materials,KSA,Jeddah,P.O.Box 34698,Tel: +966 2-638-0636
Reda National Company for Road Paint and Highway Safety,info@redanational.com,info@redanational.com,Basic Materials,KSA,Riyadh,P.O.Box 5451,Tel: +966 1-498 0888
Riyadh Oxygen Plant,,,Basic Materials,KSA,Riyadh,P.O.Box 374,Tel: +966 1-448-5070
Rowad National Plastic Company,www.alrowad.com.sa,www.alrowad.com.sa,Basic Materials,KSA,Riyadh,P.O.Box 29452,Tel: +966 1-265-1966
Saptex Insulation Products,www.saptex.com,www.saptex.com,Basic Materials,KSA,Riyadh,P.O.Box 40042,Tel: +966 1-265 1785
Saudi Arabian Adhesive Factory,www.saaf.com.sa/,www.saaf.com.sa/,Basic Materials,KSA,Riyadh,P.O.Box 8822,Tel: +966 1-495-1844
Saudi Arabian Glass Company,www.saudi-glass.com,www.saudi-glass.com,Basic Materials,KSA,Jeddah,P.O.Box 17900,Tel: +966 2-636-4959
Saudi Chemical Company,www.saudichemical.com,www.saudichemical.com,Basic Materials,KSA,Riyadh,Saudi Chemical Company,Tel: +966 1-476-7432
Saudi Chemical Industries Company,www.scipaints.com/,www.scipaints.com/,Basic Materials,KSA,Jeddah,P.O.Box 18417,Tel: +966 2-636 1815
Saudi Company for Chemical Trading,www.chemtrade.com,www.chemtrade.com,Basic Materials,KSA,Jeddah,Al Alireza Towe,Tel: +966 2-652-0000
Saudi Company for Paper Processing,www.scp.com.sa/,www.scp.com.sa/,Basic Materials,KSA,Jeddah,P.O.Box 6523,Tel: +966 1-672-1811
Saudi Industrial Gas Company,bakri@sigasco.com,bakri@sigasco.com,Basic Materials,KSA,Al Khobar,P.O.Box 291,Tel: +966 3-812-1220
